Country, Peace Index 2015, Terrorism Index 2014,Source
Timor-Leste,1.86,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Togo,1.944,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Trinidad and Tobago,2.07,1.58,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Tunisia,1.952,3.7,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Turkey,2.363,5.74,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Turkmenistan,2.138,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Uganda,2.179,4.89,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Ukraine,2.845,7.2,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
United Arab Emirates,1.805,1.05,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
United Kingdom of Great Britain and Northern Ireland,1.685,5.61,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
United States of America,2.038,4.61,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Uruguay,1.721,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Uzbekistan,2.187,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Venezuela (Bolivarian Republic of),2.493,2.14,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Viet Nam,1.848,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Yemen,2.751,7.64,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Zambia,1.846,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Zimbabwe,2.294,1.71,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
