ConflictId,Year,ISO-3166-1,Location,SideA,SideA2nd,SideB,SideBID,SideB2nd,Incompatibility,TerritoryName,IntensityLevel,CumulativeIntensity,TypeOfConflict,StartDate,StartPrec,StartDate2,StartPrec2,EpEnd,EpEndDate,EpEndPrec,GWNoA,GWNoA2nd,GWNoB,GWNoB2nd,GWNoLoc,Region,Version,
1-14,1947,RUS,Russia (Soviet Union),Government of Russia (Soviet Union),,UPA,1016,,1,Ukraine,2,1,3,1941-12-31,5,1946-12-31,5,0,,,365,,,,365,1,4.0-2015,
1-11,1947,RUS,Russia (Soviet Union),Government of Russia (Soviet Union),,Forest Brothers,1012,,1,Estonia,1,1,3,1944-12-31,6,1946-12-31,5,0,,,365,,,,365,1,4.0-2015,
1-5,1947,IDN,Indonesia,Government of Netherlands,,Indonesian People's Army,1004,,1,Indonesia,1,0,1,1945-10-13,2,1946-12-31,5,0,,,210,,,,850,3,4.0-2015,
1-4,1947,GRC,Greece,Government of Greece,,DSE,1003,,2,,2,1,3,1946-03-31,4,1946-03-31,4,0,,,350,,,,350,1,4.0-2015,
1-9,1947,LAO,Laos,Government of France,,Lao Issara,1008,,1,Laos,1,0,1,1946-03-31,4,1946-03-31,4,0,,,220,,,,812,3,4.0-2015,
1-13,1947,RUS,Russia (Soviet Union),Government of Russia (Soviet Union),,BDPS,1015,,1,Lithuania,2,1,3,1946-06-30,4,1946-06-30,4,0,,,365,,,,365,1,4.0-2015,
1-10,1947,PHL,Philippines,Government of Philippines,,Huk,1009,,2,,2,1,3,1946-07-31,4,1946-07-31,4,0,,,840,,,,840,3,4.0-2015,
1-2,1947,KHM,Cambodia (Kampuchea),Government of France,,Khmer Issarak,1001,,1,Cambodia,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,4.0-2015,
1-17,1947,VNM,Vietnam (North Vietnam),Government of France,,Viet minh,1017,,1,Vietnam,2,1,1,1946-11-20,1,1946-11-20,1,0,,,220,,,,816,3,4.0-2015,
1-3,1947,CHN,China,Government of China,,PLA,1002,,2,,2,1,3,1946-12-31,7,1946-12-31,7,0,,,710,,,,710,3,4.0-2015,
1-18,1947,CHN,China,Government of China,,Taiwanese insurgents,1018,,1,Taiwan,2,1,3,1947-02-28,1,1947-02-28,1,1,1947-03-24,1,710,,,,710,3,4.0-2015,
1-22,1947,PRY,Paraguay,Government of Paraguay,,"Opposition coalition (Febreristas, Liberals and Communists)",1583,,2,,2,1,3,1947-03-07,2,1947-03-31,4,1,1947-08-21,1,150,,,,150,5,4.0-2015,
1-21,1947,MDG,Madagascar (Malagasy),Government of France,,MDRM,1020,,1,Malagasy,2,1,1,1947-03-29,1,1947-03-29,1,1,1947-12-31,5,220,,,,580,4,4.0-2015,
1-19,1947,IND,Hyderabadh,Government of Hyderabad,,CPI,1019,,2,,2,1,3,1947-06-30,4,1947-06-30,4,0,,,751,,,,751,3,4.0-2015,
1-14,1948,RUS,Russia (Soviet Union),Government of Russia (Soviet Union),,UPA,1016,,1,Ukraine,2,1,3,1941-12-31,5,1946-12-31,5,0,,,365,,,,365,1,4.0-2015,
1-11,1948,RUS,Russia (Soviet Union),Government of Russia (Soviet Union),,Forest Brothers,1012,,1,Estonia,1,1,3,1944-12-31,6,1946-12-31,5,1,1948-12-31,5,365,,,,365,1,4.0-2015,
1-5,1948,IDN,Indonesia,Government of Netherlands,,Indonesian People's Army,1004,,1,Indonesia,1,0,1,1945-10-13,2,1946-12-31,5,0,,,210,,,,850,3,4.0-2015,
1-4,1948,GRC,Greece,Government of Greece,,DSE,1003,,2,,2,1,3,1946-03-31,4,1946-03-31,4,0,,,350,,,,350,1,4.0-2015,
1-9,1948,LAO,Laos,Government of France,,Lao Issara,1008,,1,Laos,1,0,1,1946-03-31,4,1946-03-31,4,0,,,220,,,,812,3,4.0-2015,
1-13,1948,RUS,Russia (Soviet Union),Government of Russia (Soviet Union),,BDPS,1015,,1,Lithuania,1,1,3,1946-06-30,4,1946-06-30,4,1,1948-12-31,5,365,,,,365,1,4.0-2015,
1-10,1948,PHL,Philippines,Government of Philippines,,Huk,1009,,2,,2,1,3,1946-07-31,4,1946-07-31,4,0,,,840,,,,840,3,4.0-2015,
1-2,1948,KHM,Cambodia (Kampuchea),Government of France,,Khmer Issarak,1001,,1,Cambodia,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,4.0-2015,
1-17,1948,VNM,Vietnam (North Vietnam),Government of France,,Viet minh,1017,,1,Vietnam,2,1,1,1946-11-20,1,1946-11-20,1,0,,,220,,,,816,3,4.0-2015,
1-3,1948,CHN,China,Government of China,,PLA,1002,,2,,2,1,3,1946-12-31,7,1946-12-31,7,0,,,710,,,,710,3,4.0-2015,
1-19,1948,IND,Hyderabadh,Government of Hyderabad,,CPI,1019,,2,,2,1,3,1947-06-30,4,1947-06-30,4,1,1948-09-18,1,751,,,,751,3,4.0-2015,
1-25,1948,MMR,Myanmar (Burma),Government of Myanmar (Burma),,"APLP, Mujahid Party","1934, 1949",,1,Arakan,1,0,3,1948-01-31,4,1948-01-31,4,0,,,775,,,,775,3,4.0-2015,
1-24,1948,MMR,Myanmar (Burma),Government of Myanmar (Burma),,"CPB, CPB-RF, PVO - ""White Band"" faction","1023, 1024, 1025",,2,,2,1,3,1948-02-29,4,1948-02-29,4,0,,,775,,,,775,3,4.0-2015,
1-27,1948,CRI,Costa Rica,Government of Costa Rica,,National Liberation Army,1586,,2,,2,1,3,1948-03-03,2,1948-03-03,2,1,1948-04-20,1,94,,,,94,5,4.0-2015,
1-33,1948,YEM,Yemen (North Yemen),Government of Yemen (North Yemen),,Opposition coalition,1039,,2,,2,1,3,1948-03-15,4,1948-03-15,4,1,1948-03-15,1,678,,,,678,2,4.0-2015,
1-30,1948,,"Israel, Egypt, Iraq, Jordan, Lebanon, Syria","Government of Egypt, Government of Iraq, Government of Jordan, Government of Lebanon, Government of Syria",,Government of Israel,666,,1,Palestine,2,1,2,1948-04-15,1,1948-04-15,1,0,,,"651, 645, 663, 660, 652",,666,,"666, 651, 645, 663, 660, 652",2,4.0-2015,
1-29,1948,IND,India,Government of India,,CPI,1019,,2,,2,1,3,1948-05-01,1,1948-09-18,2,0,,,750,,,,750,3,4.0-2015,
1-31,1948,MYS,Malaysia,Government of United Kingdom,,CPM,1038,,1,Malaya,1,0,1,1948-06-19,1,1948-06-19,1,0,,,200,,,,820,3,4.0-2015,
1-28,1948,IND,"Hyderabadh, India",Government of Hyderabad,,Government of India,750,,1,Hyderabad,2,1,2,1948-09-13,2,1948-09-13,2,1,1948-09-18,1,751,,750,,"750, 751",3,4.0-2015,
1-20,1948,,"India, Pakistan",Government of India,,Government of Pakistan,770,,1,Kashmir,2,1,2,1948-12-31,5,1948-12-31,5,1,1948-12-31,1,750,,770,,"750, 770",3,4.0-2015,
1-14,1949,RUS,Russia (Soviet Union),Government of Russia (Soviet Union),,UPA,1016,,1,Ukraine,1,1,3,1941-12-31,5,1946-12-31,5,0,,,365,,,,365,1,4.0-2015,
1-5,1949,IDN,Indonesia,Government of Netherlands,,Indonesian People's Army,1004,,1,Indonesia,1,0,1,1945-10-13,2,1946-12-31,5,1,1949-08-15,1,210,,,,850,3,4.0-2015,
1-4,1949,GRC,Greece,Government of Greece,,DSE,1003,,2,,2,1,3,1946-03-31,4,1946-03-31,4,1,1949-10-16,1,350,,,,350,1,4.0-2015,
1-9,1949,LAO,Laos,Government of France,,Lao Issara,1008,,1,Laos,1,0,1,1946-03-31,4,1946-03-31,4,0,,,220,,,,812,3,4.0-2015,
1-10,1949,PHL,Philippines,Government of Philippines,,Huk,1009,,2,,2,1,3,1946-07-31,4,1946-07-31,4,0,,,840,,,,840,3,4.0-2015,
1-2,1949,KHM,Cambodia (Kampuchea),Government of France,,Khmer Issarak,1001,,1,Cambodia,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,4.0-2015,
1-17,1949,VNM,Vietnam (North Vietnam),Government of France,,Viet minh,1017,,1,Vietnam,2,1,1,1946-11-20,1,1946-11-20,1,0,,,220,,,,816,3,4.0-2015,
1-3,1949,CHN,China,Government of China,,PLA,1002,,2,,2,1,3,1946-12-31,7,1946-12-31,7,1,1949-12-08,1,710,,,,710,3,4.0-2015,
1-25,1949,MMR,Myanmar (Burma),Government of Myanmar (Burma),,"APLP, Mujahid Party","1934, 1949",,1,Arakan,1,0,3,1948-01-31,4,1948-01-31,4,0,,,775,,,,775,3,4.0-2015,
1-24,1949,MMR,Myanmar (Burma),Government of Myanmar (Burma),,"CPB, CPB-RF, PVO - ""White Band"" faction","1023, 1024, 1025",,2,,2,1,3,1948-02-29,4,1948-02-29,4,0,,,775,,,,775,3,4.0-2015,
1-30,1949,,"Israel, Egypt, Iraq, Jordan, Lebanon, Syria","Government of Egypt, Government of Iraq, Government of Jordan, Government of Lebanon, Government of Syria",,Government of Israel,666,,1,Palestine,1,1,2,1948-04-15,1,1948-04-15,1,1,1949-01-07,1,"651, 645, 663, 660, 652",,666,,"666, 651, 645, 663, 660, 652",2,4.0-2015,
1-29,1949,IND,India,Government of India,,CPI,1019,,2,,2,1,3,1948-05-01,1,1948-09-18,2,0,,,750,,,,750,3,4.0-2015,
1-37,1949,ISR,Israel,Government of Israel,,Palestinian insurgents,1044,,1,Palestine,1,0,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,4.0-2015,
1-31,1949,MYS,Malaysia,Government of United Kingdom,Government of New Zealand,CPM,1038,,1,Malaya,1,1,1,1948-06-19,1,1948-06-19,1,0,,,200,920,,,820,3,4.0-2015,
1-23,1949,MMR,Myanmar (Burma),Government of Myanmar (Burma),,KNUP,1757,,1,Karen,2,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,4.0-2015,
1-26,1949,MMR,Myanmar (Burma),Government of Myanmar (Burma),,MFL-MUF,1030,,1,Mon,1,0,3,1948-12-31,3,1949-02-28,3,0,,,775,,,,775,3,4.0-2015,
1-38,1949,,"North Korea, South Korea",Government of North Korea,,Government of South Korea,732,,1,Korea,1,0,2,1949-05-31,3,1949-05-31,3,0,,,731,,732,,"731, 732",3,4.0-2015,
1-36,1949,GTM,Guatemala,Government of Guatemala,,Military faction,1587,,2,,1,0,3,1949-07-18,1,1949-07-18,1,1,1949-07-19,1,90,,,,90,5,4.0-2015,
1-35,1949,,"China, Taiwan",Government of China,,Government of Taiwan,713,,3,Taiwan strait,2,1,2,1949-10-31,3,1949-10-31,3,0,,,710,,713,,"710, 713",3,4.0-2015,
1-34,1949,MMR,Myanmar (Burma),Government of Myanmar (Burma),,PNDF,1042,,1,Kachin,1,0,3,1949-12-31,6,1949-12-31,6,0,,,775,,,,775,3,4.0-2015,
1-14,1950,RUS,Russia (Soviet Union),Government of Russia (Soviet Union),,UPA,1016,,1,Ukraine,1,1,3,1941-12-31,5,1946-12-31,5,1,1950-12-31,5,365,,,,365,1,4.0-2015,
1-9,1950,LAO,Laos,Government of France,,Lao Issara,1008,,1,Laos,1,1,1,1946-03-31,4,1946-03-31,4,0,,,220,,,,812,3,4.0-2015,
1-10,1950,PHL,Philippines,Government of Philippines,,Huk,1009,,2,,2,1,3,1946-07-31,4,1946-07-31,4,0,,,840,,,,840,3,4.0-2015,
1-2,1950,KHM,Cambodia (Kampuchea),Government of France,,Khmer Issarak,1001,,1,Cambodia,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,4.0-2015,
1-17,1950,VNM,Vietnam (North Vietnam),Government of France,,Viet minh,1017,,1,Vietnam,2,1,1,1946-11-20,1,1946-11-20,1,0,,,220,,,,816,3,4.0-2015,
1-25,1950,MMR,Myanmar (Burma),Government of Myanmar (Burma),,"APLP, Mujahid Party","1934, 1949",,1,Arakan,1,0,3,1948-01-31,4,1948-01-31,4,0,,,775,,,,775,3,4.0-2015,
1-24,1950,MMR,Myanmar (Burma),Government of Myanmar (Burma),,"CPB, CPB-RF, PVO - ""White Band"" faction","1023, 1024, 1025",,2,,2,1,3,1948-02-29,4,1948-02-29,4,0,,,775,,,,775,3,4.0-2015,
1-29,1950,IND,India,Government of India,,CPI,1019,,2,,2,1,3,1948-05-01,1,1948-09-18,2,0,,,750,,,,750,3,4.0-2015,
1-37,1950,ISR,Israel,Government of Israel,,Palestinian insurgents,1044,,1,Palestine,1,0,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,4.0-2015,
1-31,1950,MYS,Malaysia,Government of United Kingdom,"Government of Australia, Government of New Zealand",CPM,1038,,1,Malaya,2,1,1,1948-06-19,1,1948-06-19,1,0,,,200,"900, 920",,,820,3,4.0-2015,
1-23,1950,MMR,Myanmar (Burma),Government of Myanmar (Burma),,KNUP,1757,,1,Karen,2,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,4.0-2015,
1-26,1950,MMR,Myanmar (Burma),Government of Myanmar (Burma),,MFL-MUF,1030,,1,Mon,1,0,3,1948-12-31,3,1949-02-28,3,0,,,775,,,,775,3,4.0-2015,
1-38,1950,,"North Korea, South Korea",Government of North Korea,"Government of China, Government of Russia (Soviet Union)",Government of South Korea,732,"Government of Australia, Government of Canada, Government of France, Government of Greece, Government of New Zealand, Government of Philippines, Government of South Africa, Government of Thailand, Government of Turkey, Government of United Kingdom, Government of United States of America",1,Korea,2,1,2,1949-05-31,3,1949-05-31,3,0,,,731,"710, 365",732,"900, 20, 220, 350, 920, 840, 560, 800, 640, 200, 2","731, 732",3,4.0-2015,
1-35,1950,,"China, Taiwan",Government of China,,Government of Taiwan,713,,3,Taiwan strait,1,1,2,1949-10-31,3,1949-10-31,3,1,1950-12-31,5,710,,713,,"710, 713",3,4.0-2015,
1-34,1950,MMR,Myanmar (Burma),Government of Myanmar (Burma),,PNDF,1042,,1,Kachin,1,1,3,1949-12-31,6,1949-12-31,6,1,1950-05-05,1,775,,,,775,3,4.0-2015,
1-40,1950,IDN,Indonesia,Government of Indonesia,,Republic of South Moluccas,1056,,1,South Moluccas,2,1,3,1950-08-05,1,1950-08-05,1,1,1950-11-15,1,850,,,,850,3,4.0-2015,
1-39,1950,CHN,China,Government of China,,Tibet,1055,,1,Tibet,1,0,3,1950-10-07,1,1950-10-07,1,1,1950-10-09,1,710,,,,710,3,4.0-2015,
1-41,1950,USA,United States of America,Government of United States of America,,Puerto Rican Nationalist Party,1594,,1,Puerto Rico,1,0,1,1950-10-30,1,1950-10-30,1,1,1950-11-01,1,2,,,,2,5,4.0-2015,
1-9,1951,LAO,Laos,Government of France,,Lao Issara,1008,,1,Laos,1,1,1,1946-03-31,4,1946-03-31,4,0,,,220,,,,812,3,4.0-2015,
1-10,1951,PHL,Philippines,Government of Philippines,,Huk,1009,,2,,2,1,3,1946-07-31,4,1946-07-31,4,0,,,840,,,,840,3,4.0-2015,
1-2,1951,KHM,Cambodia (Kampuchea),Government of France,,Khmer Issarak,1001,,1,Cambodia,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,4.0-2015,
1-17,1951,VNM,Vietnam (North Vietnam),Government of France,,Viet minh,1017,,1,Vietnam,2,1,1,1946-11-20,1,1946-11-20,1,0,,,220,,,,816,3,4.0-2015,
1-25,1951,MMR,Myanmar (Burma),Government of Myanmar (Burma),,"APLP, Mujahid Party","1934, 1949",,1,Arakan,1,0,3,1948-01-31,4,1948-01-31,4,0,,,775,,,,775,3,4.0-2015,
1-24,1951,MMR,Myanmar (Burma),Government of Myanmar (Burma),,"CPB, PVO - ""White Band"" faction","1023, 1025",,2,,2,1,3,1948-02-29,4,1948-02-29,4,0,,,775,,,,775,3,4.0-2015,
1-29,1951,IND,India,Government of India,,CPI,1019,,2,,2,1,3,1948-05-01,1,1948-09-18,2,1,1951-12-31,5,750,,,,750,3,4.0-2015,
1-37,1951,ISR,Israel,Government of Israel,,Palestinian insurgents,1044,,1,Palestine,1,0,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,4.0-2015,
1-31,1951,MYS,Malaysia,Government of United Kingdom,"Government of Australia, Government of New Zealand",CPM,1038,,1,Malaya,2,1,1,1948-06-19,1,1948-06-19,1,0,,,200,"900, 920",,,820,3,4.0-2015,
1-23,1951,MMR,Myanmar (Burma),Government of Myanmar (Burma),,KNUP,1757,,1,Karen,1,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,4.0-2015,
1-26,1951,MMR,Myanmar (Burma),Government of Myanmar (Burma),,MFL-MUF,1030,,1,Mon,1,0,3,1948-12-31,3,1949-02-28,3,0,,,775,,,,775,3,4.0-2015,
1-38,1951,,"North Korea, South Korea",Government of North Korea,"Government of China, Government of Russia (Soviet Union)",Government of South Korea,732,"Government of Australia, Government of Belgium, Government of Canada, Government of Colombia, Government of Ethiopia, Government of France, Government of Greece, Government of Luxembourg, Government of Netherlands, Government of New Zealand, Government of Philippines, Government of South Africa, Government of Thailand, Government of Turkey, Government of United Kingdom, Government of United States of America",1,Korea,2,1,2,1949-05-31,3,1949-05-31,3,0,,,731,"710, 365",732,"900, 211, 20, 100, 530, 220, 350, 212, 210, 920, 840, 560, 800, 640, 200, 2","731, 732",3,4.0-2015,
1-43,1951,THA,Thailand,Government of Thailand,,Military faction (navy),1057,,2,,1,0,3,1951-06-30,1,1951-06-30,1,1,1951-07-01,1,800,,,,800,3,4.0-2015,
1-42,1951,,"Egypt, United Kingdom",Government of Egypt,,Government of United Kingdom,200,,1,Suez,1,0,2,1951-10-18,1,1951-10-18,1,0,,,651,,200,,"200, 651","1, 2",4.0-2015,
1-9,1952,LAO,Laos,Government of France,,Lao Issara,1008,,1,Laos,1,1,1,1946-03-31,4,1946-03-31,4,0,,,220,,,,812,3,4.0-2015,
1-1,1952,BOL,Bolivia,Government of Bolivia,,MNR,1581,,2,,1,1,3,1946-06-30,4,1952-04-09,1,1,1952-04-12,1,145,,,,145,5,4.0-2015,
1-10,1952,PHL,Philippines,Government of Philippines,,Huk,1009,,2,,2,1,3,1946-07-31,4,1946-07-31,4,0,,,840,,,,840,3,4.0-2015,
1-2,1952,KHM,Cambodia (Kampuchea),Government of France,,Khmer Issarak,1001,,1,Cambodia,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,4.0-2015,
1-17,1952,VNM,Vietnam (North Vietnam),Government of France,,Viet minh,1017,,1,Vietnam,2,1,1,1946-11-20,1,1946-11-20,1,0,,,220,,,,816,3,4.0-2015,
1-25,1952,MMR,Myanmar (Burma),Government of Myanmar (Burma),,"APLP, Mujahid Party","1934, 1949",,1,Arakan,1,0,3,1948-01-31,4,1948-01-31,4,0,,,775,,,,775,3,4.0-2015,
1-24,1952,MMR,Myanmar (Burma),Government of Myanmar (Burma),,"CPB, PVO - ""White Band"" faction","1023, 1025",,2,,2,1,3,1948-02-29,4,1948-02-29,4,0,,,775,,,,775,3,4.0-2015,
1-37,1952,ISR,Israel,Government of Israel,,Palestinian insurgents,1044,,1,Palestine,1,0,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,4.0-2015,
1-31,1952,MYS,Malaysia,Government of United Kingdom,"Government of Australia, Government of New Zealand",CPM,1038,,1,Malaya,2,1,1,1948-06-19,1,1948-06-19,1,0,,,200,"900, 920",,,820,3,4.0-2015,
1-23,1952,MMR,Myanmar (Burma),Government of Myanmar (Burma),,KNUP,1757,,1,Karen,1,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,4.0-2015,
1-26,1952,MMR,Myanmar (Burma),Government of Myanmar (Burma),,MPF,1031,,1,Mon,1,0,3,1948-12-31,3,1949-02-28,3,0,,,775,,,,775,3,4.0-2015,
1-38,1952,,"North Korea, South Korea",Government of North Korea,"Government of China, Government of Russia (Soviet Union)",Government of South Korea,732,"Government of Australia, Government of Belgium, Government of Canada, Government of Colombia, Government of Ethiopia, Government of France, Government of Greece, Government of Luxembourg, Government of Netherlands, Government of New Zealand, Government of Philippines, Government of South Africa, Government of Thailand, Government of Turkey, Government of United Kingdom, Government of United States of America",1,Korea,2,1,2,1949-05-31,3,1949-05-31,3,0,,,731,"710, 365",732,"900, 211, 20, 100, 530, 220, 350, 212, 210, 920, 840, 560, 800, 640, 200, 2","731, 732",3,4.0-2015,
1-42,1952,,"Egypt, United Kingdom",Government of Egypt,,Government of United Kingdom,200,,1,Suez,1,0,2,1951-10-18,1,1951-10-18,1,1,1952-12-31,5,651,,200,,"200, 651","1, 2",4.0-2015,
1-44,1952,KEN,Kenya,Government of United Kingdom,,Mau Mau,1245,,1,Kenya,1,0,1,1952-10-22,2,1952-10-22,2,0,,,200,,,,501,4,4.0-2015,
1-9,1953,LAO,Laos,Government of France,,Lao Issara,1008,,1,Laos,1,1,1,1946-03-31,4,1946-03-31,4,1,1953-12-31,5,220,,,,812,3,4.0-2015,
1-10,1953,PHL,Philippines,Government of Philippines,,Huk,1009,,2,,2,1,3,1946-07-31,4,1946-07-31,4,0,,,840,,,,840,3,4.0-2015,
1-2,1953,KHM,Cambodia (Kampuchea),Government of France,,Khmer Issarak,1001,,1,Cambodia,1,0,1,1946-08-31,3,1946-08-31,3,1,1953-11-09,1,220,,,,811,3,4.0-2015,
1-17,1953,VNM,Vietnam (North Vietnam),Government of France,,Viet minh,1017,,1,Vietnam,2,1,1,1946-11-20,1,1946-11-20,1,0,,,220,,,,816,3,4.0-2015,
1-25,1953,MMR,Myanmar (Burma),Government of Myanmar (Burma),,"APLP, Mujahid Party","1934, 1949",,1,Arakan,1,0,3,1948-01-31,4,1948-01-31,4,0,,,775,,,,775,3,4.0-2015,
1-24,1953,MMR,Myanmar (Burma),Government of Myanmar (Burma),,"CPB, PVO - ""White Band"" faction","1023, 1025",,2,,2,1,3,1948-02-29,4,1948-02-29,4,0,,,775,,,,775,3,4.0-2015,
1-37,1953,ISR,Israel,Government of Israel,,Palestinian insurgents,1044,,1,Palestine,1,0,3,1948-05-15,1,1949-12-31,5,0,,,666,,,,666,2,4.0-2015,
1-31,1953,MYS,Malaysia,Government of United Kingdom,"Government of Australia, Government of New Zealand",CPM,1038,,1,Malaya,2,1,1,1948-06-19,1,1948-06-19,1,0,,,200,"900, 920",,,820,3,4.0-2015,
1-23,1953,MMR,Myanmar (Burma),Government of Myanmar (Burma),,KNUP,1757,,1,Karen,1,1,3,1948-12-31,3,1949-01-15,1,0,,,775,,,,775,3,4.0-2015,
1-26,1953,MMR,Myanmar (Burma),Government of Myanmar (Burma),,MPF,1031,,1,Mon,1,0,3,1948-12-31,3,1949-02-28,3,0,,,775,,,,775,3,4.0-2015,
1-38,1953,,"North Korea, South Korea",Government of North Korea,"Government of China, Government of Russia (Soviet Union)",Government of South Korea,732,"Government of Australia, Government of Belgium, Government of Canada, Government of Colombia, Government of Ethiopia, Government of France, Government of Greece, Government of Luxembourg, Government of Netherlands, Government of New Zealand, Government of Philippines, Government of South Africa, Government of Thailand, Government of Turkey, Government of United Kingdom, Government of United States of America",1,Korea,2,1,2,1949-05-31,3,1949-05-31,3,1,1953-07-27,1,731,"710, 365",732,"900, 211, 20, 100, 530, 220, 350, 212, 210, 920, 840, 560, 800, 640, 200, 2","731, 732",3,4.0-2015,
1-44,1953,KEN,Kenya,Government of United Kingdom,,Mau Mau,1245,,1,Kenya,2,1,1,1952-10-22,2,1952-10-22,2,0,,,200,,,,501,4,4.0-2015,
1-48,1953,TUN,Tunisia,Government of France,,National Liberation Army,1247,,1,Tunisia,1,0,1,1953-04-30,3,1953-04-30,3,0,,,220,,,,616,4,4.0-2015,
1-45,1953,CUB,Cuba,Government of Cuba,,M-26-7,1595,,2,,1,0,3,1953-07-26,1,1953-07-26,1,1,1953-07-27,1,40,,,,40,5,4.0-2015,
1-47,1953,MAR,Morocco,Government of France,,Istiqlal,1246,,1,Morocco,1,0,1,1953-11-07,1,1953-11-07,1,0,,,220,,,,600,4,4.0-2015,
1-46,1953,IDN,Indonesia,Government of Indonesia,,Darul Islam,1059,,2,,2,1,3,1953-12-31,5,1953-12-31,5,1,1953-12-31,5,850,,,,850,3,4.0-2015,
1-10,1954,PHL,Philippines,Government of Philippines,,Huk,1009,,2,,2,1,3,1946-07-31,4,1946-07-31,4,1,1954-12-31,5,840,,,,840,3,4.0-2015,
